"","Proteomics","MassSpectrometry"
"2.6",8440,8259
"2.7",7189,7418
"2.8",8360,8092
"2.9",12329,11590
"2.10",18178,15168
"2.11",29039,24896
"2.12",41359.5,29926.5
"2.13",53680,34957
"2.14",53575,33510
